OrderID,CustomerID,Gender,Age,Product,Category,Quantity,Price,TotalAmount,PaymentMethod,Region,PurchaseDate
O00067,C1186,Male,19.0,Jeans,Fashion,2,342.06,684.12,MobileMoney,East,2025-01-12
O00068,C1056,Female,20.0,Lipstick,Beauty,2,99.78,199.56,BankTransfer,South,2023-12-09
O00069,C0884,Female,37.0,Blender,Home,5,198.58,992.9,Card,North,2023-11-05
O00070,C1333,Male,41.0,Lipstick,Beauty,5,178.97,894.85,Cash,West,2024-06-21
O00071,C0137,Female,55.0,Fan,Home,1,83.3,83.3,MobileMoney,West,2025-07-04
O00072,C0418,Female,35.0,Makeup Kit,Beauty,2,17.13,34.26,BankTransfer,South,2025-01-25
O00073,C0933,Female,52.0,Tablet,Electronics,2,163.77,327.54,MobileMoney,South,2025-07-03
O00074,C0733,Male,,Jeans,Fashion,5,167.73,838.65,Cash,West,2024-03-10
O00075,C0008,Female,57.0,Fan,Home,5,212.03,1060.15,BankTransfer,North,2023-09-29
O00076,C1178,Female,33.0,Microwave,Home,1,170.74,170.74,Card,West,2024-10-23
O00077,C1260,Female,58.0,Lotion,Beauty,4,32.33,129.32,MobileMoney,East,2025-04-27
O00078,C0264,Female,59.0,Microwave,Home,4,424.16,1696.64,Card,South,2023-12-28
O00079,C0911,Female,54.0,Blender,Home,4,463.0,1852.0,Cash,West,2025-02-11
O00080,C1434,Female,52.0,Jacket,Fashion,3,416.72,1250.16,Card,West,2023-10-14
O00081,C0186,Male,30.0,Fan,Home,3,351.69,1055.07,Cash,South,2024-04-26
O00082,C0455,Male,62.0,Smartphone,Electronics,5,26.48,132.4,Cash,East,2025-07-09
O00083,C0629,Male,51.0,Makeup Kit,Beauty,5,366.13,1830.65,Card,West,2024-11-05
O00084,C1100,Female,,Jacket,Fashion,5,268.59,1342.95,MobileMoney,East,2023-09-24
O00085,C1270,Female,62.0,Jeans,Fashion,3,260.31,780.93,Cash,South,2024-03-05
O00086,C0858,Female,49.0,Perfume,Beauty,3,268.46,805.38,Card,North,2023-11-20
O00087,C0185,Male,58.0,Laptop,Electronics,5,347.46,1737.3,Cash,East,2024-05-25
O00088,C0914,Male,53.0,Jeans,Fashion,2,363.68,727.36,BankTransfer,East,2024-04-02
O00089,C0365,Female,51.0,Tablet,Electronics,3,316.05,948.15,BankTransfer,North,2024-09-23
O00090,C1139,Male,24.0,Laptop,Electronics,4,294.27,1177.08,Card,North,2025-09-12
O00091,C1356,Female,26.0,Laptop,Electronics,5,78.03,390.15,Card,North,2025-01-09
O00092,C0437,Male,32.0,Smartphone,Electronics,5,227.36,1136.8,Card,North,2024-03-08
O00093,C1133,Male,60.0,Headphones,Electronics,4,446.57,1786.28,BankTransfer,South,2025-08-28
O00094,C1109,Male,50.0,Tablet,Electronics,4,141.79,567.16,BankTransfer,South,2025-09-12
O00095,C0758,Female,34.0,Jeans,Fashion,5,287.87,1439.35,MobileMoney,East,2024-05-13
O00096,C0610,Female,38.0,Blender,Home,5,366.28,1831.4,BankTransfer,West,2024-11-26
O00097,C0632,Male,49.0,Vacuum Cleaner,Home,3,322.96,968.88,Card,North,2024-02-23
O00098,C0543,Female,63.0,Vacuum Cleaner,Home,1,318.51,318.51,BankTransfer,South,2025-07-28
O00099,C0269,Female,33.0,Shoes,Fashion,3,358.2,1074.6,MobileMoney,East,2024-06-08
O00100,C1215,Female,28.0,Perfume,Beauty,4,274.38,1097.52,BankTransfer,South,2023-11-26
O00101,C0899,Female,59.0,Shoes,Fashion,3,231.6,694.8,BankTransfer,North,2024-12-15
O00102,C0866,Female,52.0,Laptop,Electronics,5,218.44,1092.2,MobileMoney,East,2023-11-27
O00103,C1178,Female,51.0,Jeans,Fashion,1,154.18,154.18,Card,South,2024-11-22
O00104,C1477,Male,22.0,Lipstick,Beauty,5,303.91,1519.55,MobileMoney,South,2024-05-28
O00105,C1485,Female,26.0,Headphones,Electronics,4,250.93,1003.72,MobileMoney,South,2024-10-21
O00106,C0869,Male,29.0,Makeup Kit,Beauty,4,416.03,1664.12,BankTransfer,North,2024-10-27
O00107,C0066,Female,47.0,T-shirt,Fashion,1,144.56,144.56,Cash,North,2025-02-04
O00108,C1048,Male,48.0,Microwave,Home,1,41.75,41.75,Card,South,2024-03-10
O00109,C0077,Female,37.0,Jeans,Fashion,3,439.95,1319.85,MobileMoney,West,2024-03-20
O00110,C1227,Female,47.0,Fan,Home,4,244.24,976.96,BankTransfer,East,2024-07-12
O00111,C0947,Male,21.0,Lipstick,Beauty,1,115.46,115.46,MobileMoney,East,2025-04-06
O00112,C0325,Female,,T-shirt,Fashion,1,490.07,490.07,Cash,West,2025-08-23
O00113,C0227,Female,49.0,Jacket,Fashion,1,394.69,394.69,BankTransfer,East,2024-11-30
O00114,C0463,Male,62.0,Fan,Home,1,227.22,227.22,MobileMoney,South,2024-01-12
O00115,C1189,Male,20.0,Fan,Home,1,339.2,339.2,BankTransfer,South,2024-01-26
O00116,C1048,Male,35.0,Headphones,Electronics,4,449.93,1799.72,Cash,North,2024-12-02
O00117,C0411,Male,31.0,T-shirt,Fashion,5,79.16,395.8,Card,North,2024-10-07
O00118,C0621,Female,41.0,Tablet,Electronics,5,88.3,441.5,Card,East,2025-01-09
O00119,C0170,Male,27.0,Smartphone,Electronics,5,123.25,616.25,Card,North,2025-04-24
O00120,C0933,Male,58.0,Microwave,Home,4,485.22,1940.88,BankTransfer,South,2024-09-10
O00121,C0519,Female,30.0,T-shirt,Fashion,1,196.19,196.19,MobileMoney,South,2025-07-17
O00122,C0470,Male,24.0,Shoes,Fashion,4,9.27,37.08,Card,North,2023-09-22
O00123,C0721,Female,,Laptop,Electronics,1,220.73,220.73,MobileMoney,North,2024-07-04
O00124,C1491,Female,61.0,Blender,Home,3,54.9,164.7,BankTransfer,West,2025-02-06
O00125,C0303,Male,30.0,Microwave,Home,4,150.32,601.28,BankTransfer,West,2023-11-14
O00126,C0673,Male,26.0,Laptop,Electronics,4,180.63,722.52,MobileMoney,West,2024-06-19
O00127,C0718,Female,55.0,Jacket,Fashion,2,384.5,769.0,Card,North,2025-04-24
O00128,C0595,Male,18.0,Blender,Home,1,386.91,386.91,Card,North,2024-09-17
O00129,C0492,Male,62.0,Blender,Home,2,235.27,470.54,BankTransfer,North,2023-12-15
O00130,C0374,Male,62.0,T-shirt,Fashion,2,185.91,371.82,BankTransfer,West,2024-06-18
O00131,C1077,Male,28.0,Lipstick,Beauty,2,40.29,80.58,Cash,East,2023-12-10
O00132,C0846,Female,,Vacuum Cleaner,Home,3,156.27,468.81,BankTransfer,West,2025-04-04
O00133,C0176,Male,49.0,Lotion,Beauty,3,167.36,502.08,MobileMoney,North,2024-03-31
O00134,C0236,Female,56.0,Tablet,Electronics,5,96.69,483.45,BankTransfer,West,2024-05-08
O00135,C0429,Male,19.0,Lipstick,Beauty,1,108.48,108.48,BankTransfer,North,2025-06-28
O00136,C0190,Female,63.0,Lipstick,Beauty,4,122.05,488.2,MobileMoney,North,2024-11-29
O00137,C1427,Female,25.0,Lotion,Beauty,3,188.82,566.46,Cash,North,2025-01-02
O00138,C0507,Female,34.0,Jeans,Fashion,1,435.64,435.64,Cash,West,2024-01-26
O00139,C0788,Male,21.0,T-shirt,Fashion,1,469.98,469.98,MobileMoney,South,2024-11-26
O00140,C0576,Female,44.0,Blender,Home,4,286.25,1145.0,MobileMoney,North,2023-11-15
O00141,C0758,Female,37.0,Blender,Home,5,83.43,417.15,Card,East,2025-03-28
O00142,C0076,Male,21.0,Lotion,Beauty,1,303.28,303.28,MobileMoney,South,2024-06-22
O00143,C1339,Male,,Vacuum Cleaner,Home,4,171.34,685.36,MobileMoney,East,2025-08-21
O00144,C0474,Female,18.0,Microwave,Home,2,274.28,548.56,MobileMoney,North,2025-05-11
O00145,C1257,Male,47.0,Blender,Home,2,62.06,124.12,MobileMoney,West,2025-06-26
O00146,C0399,Female,26.0,Blender,Home,4,243.5,974.0,BankTransfer,South,2024-09-13
O00147,C0651,Male,62.0,Jeans,Fashion,3,166.0,498.0,MobileMoney,East,2024-03-01
O00148,C0604,Male,28.0,Laptop,Electronics,1,468.43,468.43,MobileMoney,West,2025-02-23
O00149,C1037,Female,55.0,Jeans,Fashion,5,495.25,2476.25,Card,South,2025-04-01
O00150,C0858,Male,28.0,Vacuum Cleaner,Home,3,287.51,862.53,Cash,West,2025-01-18
O00151,C0101,Female,30.0,Makeup Kit,Beauty,4,9.08,36.32,MobileMoney,South,2023-10-21
O00152,C0055,Male,56.0,Headphones,Electronics,2,323.08,646.16,Cash,East,2025-04-29
O00153,C0394,Male,31.0,Microwave,Home,4,62.34,249.36,Card,East,2024-11-03
O00154,C0267,Female,19.0,T-shirt,Fashion,3,118.85,356.55,BankTransfer,West,2025-05-26
O00155,C1126,Male,,Fan,Home,1,25.08,25.08,Card,East,2023-09-19
O00156,C1184,Female,,Blender,Home,4,6.08,24.32,MobileMoney,East,2024-07-15
O00157,C1077,Male,34.0,Smartphone,Electronics,5,134.28,671.4,BankTransfer,South,2024-07-10
O00158,C0045,Male,,Laptop,Electronics,4,102.11,408.44,Cash,West,2024-01-06
O00159,C0479,Male,,Vacuum Cleaner,Home,2,375.25,750.5,Card,North,2024-03-04
O00160,C0427,Male,,Shoes,Fashion,2,250.57,501.14,Cash,East,2024-05-26
O00161,C0086,Male,,Blender,Home,4,354.01,1416.04,Cash,East,2023-12-30
O00162,C0134,Male,39.0,Fan,Home,2,378.71,757.42,BankTransfer,East,2023-09-30
O00163,C1103,Male,,Perfume,Beauty,1,243.94,243.94,Card,East,2025-03-18
O00164,C0970,Male,49.0,Tablet,Electronics,5,422.89,2114.45,Cash,North,2023-12-27
O00165,C0317,Male,28.0,Microwave,Home,3,408.2,1224.6,Card,West,2024-09-04
O00166,C0352,Female,22.0,Blender,Home,5,130.8,654.0,Cash,West,2023-11-03
O00167,C0893,Female,,Jacket,Fashion,5,98.79,493.95,Cash,South,2024-08-15
O00168,C1164,Male,41.0,Makeup Kit,Beauty,4,176.86,707.44,Card,South,2025-03-21
O00169,C0274,Male,58.0,Headphones,Electronics,3,14.37,43.11,Card,West,2023-12-17
O00170,C1478,Male,24.0,Tablet,Electronics,4,58.6,234.4,MobileMoney,West,2024-12-12
O00171,C0405,Male,33.0,Lotion,Beauty,1,201.04,201.04,Cash,West,2024-09-30
O00172,C0363,Female,52.0,Vacuum Cleaner,Home,2,181.54,363.08,BankTransfer,North,2024-10-30
O00173,C1267,Male,18.0,Smartphone,Electronics,2,386.89,773.78,BankTransfer,South,2024-02-14
O00174,C0471,Male,,Makeup Kit,Beauty,3,77.48,232.44,Cash,North,2024-06-07
O00175,C0705,Male,,Smartphone,Electronics,1,471.73,471.73,Cash,South,2024-08-17
O00176,C0559,Male,37.0,Vacuum Cleaner,Home,2,378.43,756.86,Cash,South,2024-03-22
O00177,C1188,Male,52.0,Blender,Home,2,119.38,238.76,Cash,South,2023-09-30
O00178,C0307,Female,56.0,Tablet,Electronics,2,103.14,206.28,BankTransfer,East,2024-06-05
O00179,C1085,Male,60.0,Jeans,Fashion,5,124.94,624.7,Card,South,2023-12-06
O00180,C0301,Male,29.0,Makeup Kit,Beauty,4,389.74,1558.96,BankTransfer,North,2024-07-28
O00181,C0598,Female,48.0,Jeans,Fashion,3,360.7,1082.1,Cash,West,2024-04-02
O00182,C1331,Female,20.0,Tablet,Electronics,5,58.7,293.5,BankTransfer,North,2025-08-17
O00183,C0298,Male,44.0,Tablet,Electronics,3,297.07,891.21,MobileMoney,South,2023-10-01
O00184,C0587,Male,,Lipstick,Beauty,1,329.92,329.92,Cash,West,2025-01-18
O00185,C0680,Male,31.0,Jacket,Fashion,5,358.18,1790.9,MobileMoney,West,2025-04-19
O00186,C0669,Male,27.0,Laptop,Electronics,4,386.89,1547.56,BankTransfer,South,2025-07-01
O00187,C1492,Male,,Shoes,Fashion,4,491.15,1964.6,BankTransfer,East,2023-11-19
O00188,C0636,Female,27.0,Jeans,Fashion,3,44.45,133.35,Cash,West,2025-04-27
O00189,C1459,Male,,Tablet,Electronics,4,339.64,1358.56,Card,South,2023-09-29
O00190,C0851,Female,30.0,Makeup Kit,Beauty,1,325.61,325.61,MobileMoney,West,2024-03-16
O00191,C1494,Male,22.0,Vacuum Cleaner,Home,2,497.13,994.26,MobileMoney,West,2024-10-27
O00192,C0826,Female,,Jeans,Fashion,1,340.13,340.13,MobileMoney,South,2024-01-03
O00193,C1144,Female,43.0,Fan,Home,3,228.56,685.68,BankTransfer,South,2025-02-28
O00194,C0696,Female,27.0,Jacket,Fashion,4,12.28,49.12,Card,South,2025-05-23
O00195,C1251,Female,44.0,Microwave,Home,1,378.37,378.37,Card,East,2024-10-21
O00196,C0731,Female,40.0,Vacuum Cleaner,Home,1,203.1,203.1,Card,South,2024-08-14
O00197,C0394,Female,54.0,Tablet,Electronics,4,221.99,887.96,MobileMoney,South,2025-07-15
O00198,C0013,Female,23.0,Laptop,Electronics,5,393.84,1969.2,MobileMoney,North,2025-08-08
O00199,C0502,Female,38.0,Lipstick,Beauty,1,333.34,333.34,Cash,East,2024-02-06
O00200,C0545,Female,24.0,Makeup Kit,Beauty,2,321.56,643.12,MobileMoney,North,2025-05-20
O00201,C0081,Male,24.0,Laptop,Electronics,2,131.01,262.02,Cash,South,2024-09-21
O00202,C1207,Female,50.0,T-shirt,Fashion,2,97.38,194.76,Card,South,2024-11-16
O00203,C0695,Male,22.0,Smartphone,Electronics,4,431.49,1725.96,BankTransfer,North,2025-05-23
O00204,C0768,Female,33.0,Shoes,Fashion,4,63.84,255.36,Card,West,2024-07-17
O00205,C0767,Female,20.0,Lipstick,Beauty,4,178.26,713.04,Card,East,2025-07-24
O00206,C0375,Male,49.0,Lotion,Beauty,3,226.12,678.36,Card,East,2025-02-14
O00207,C0218,Male,47.0,Vacuum Cleaner,Home,1,286.78,286.78,Cash,East,2025-05-22
O00208,C0380,Female,25.0,Laptop,Electronics,1,282.28,282.28,Cash,East,2025-01-05
O00209,C0743,Female,23.0,Jacket,Fashion,2,489.08,978.16,MobileMoney,East,2023-11-04
O00210,C0431,Male,63.0,Makeup Kit,Beauty,1,14.28,14.28,Card,South,2023-10-18
O00211,C0979,Female,41.0,Tablet,Electronics,5,135.43,677.15,Card,South,2023-12-13
O00212,C0218,Male,42.0,Vacuum Cleaner,Home,5,121.69,608.45,Cash,North,2025-07-14
O00213,C0332,Female,27.0,Lipstick,Beauty,1,462.22,462.22,BankTransfer,North,2024-09-10
O00214,C0465,Female,43.0,Perfume,Beauty,5,139.7,698.5,MobileMoney,West,2023-10-28
O00215,C0170,Female,46.0,Microwave,Home,5,227.31,1136.55,BankTransfer,West,2025-07-19
O00216,C0459,Male,18.0,Laptop,Electronics,2,31.62,63.24,Card,West,2025-06-20
O00217,C1207,Male,37.0,Microwave,Home,5,170.38,851.9,Cash,South,2024-09-05
O00218,C1468,Male,28.0,Jacket,Fashion,5,490.07,2450.35,BankTransfer,East,2024-12-05
O00219,C0385,Female,39.0,Lipstick,Beauty,3,429.83,1289.49,Card,South,2025-07-25
O00220,C1368,Female,51.0,Shoes,Fashion,5,489.68,2448.4,Cash,West,2025-04-16
O00221,C0490,Female,26.0,Microwave,Home,1,243.14,243.14,MobileMoney,South,2024-12-18
O00222,C0380,Male,30.0,Jeans,Fashion,5,281.52,1407.6,MobileMoney,West,2024-05-12
O00223,C0097,Male,,Laptop,Electronics,3,292.97,878.91,BankTransfer,East,2024-08-24
O00224,C1088,Female,29.0,Vacuum Cleaner,Home,1,464.06,464.06,Card,West,2023-09-19
O00225,C0941,Female,39.0,Fan,Home,4,12.07,48.28,BankTransfer,South,2025-01-17
O00226,C1110,Male,29.0,Vacuum Cleaner,Home,5,484.51,2422.55,Cash,South,2023-09-26
O00227,C0438,Female,41.0,Blender,Home,3,96.0,288.0,MobileMoney,West,2025-06-15
O00228,C1419,Male,51.0,Vacuum Cleaner,Home,3,369.84,1109.52,Cash,East,2024-05-29
O00229,C1249,Female,50.0,Lipstick,Beauty,1,176.34,176.34,MobileMoney,West,2024-12-17
O00230,C0813,Male,60.0,Perfume,Beauty,1,360.6,360.6,MobileMoney,East,2024-04-09
O00231,C0361,Female,48.0,T-shirt,Fashion,3,483.94,1451.82,Cash,East,2025-05-24
O00232,C1202,Male,19.0,Shoes,Fashion,4,291.77,1167.08,BankTransfer,West,2024-10-06
O00233,C0441,Male,49.0,Tablet,Electronics,2,75.72,151.44,BankTransfer,South,2024-01-17
O00234,C0330,Male,64.0,Headphones,Electronics,5,334.51,1672.55,Card,South,2024-04-10
O00235,C0050,Male,24.0,Headphones,Electronics,2,197.88,395.76,Cash,West,2023-10-20
O00236,C0079,Female,39.0,Smartphone,Electronics,4,30.85,123.4,MobileMoney,West,2024-04-14
O00237,C0819,Female,64.0,Makeup Kit,Beauty,5,268.35,1341.75,Cash,South,2025-06-22
O00238,C0683,Male,,Tablet,Electronics,1,315.09,315.09,BankTransfer,North,2024-02-13
O00239,C0262,Male,53.0,Vacuum Cleaner,Home,5,284.34,1421.7,Cash,East,2024-12-12
O00240,C0240,Female,46.0,Laptop,Electronics,4,295.34,1181.36,MobileMoney,West,2024-02-24
O00241,C1383,Male,37.0,Shoes,Fashion,4,83.77,335.08,BankTransfer,South,2024-07-24
O00242,C0992,Female,18.0,Vacuum Cleaner,Home,4,322.2,1288.8,MobileMoney,West,2024-09-17
O00243,C0234,Male,26.0,Jeans,Fashion,4,407.93,1631.72,MobileMoney,South,2023-11-04
O00244,C0956,Female,46.0,Jacket,Fashion,5,284.56,1422.8,BankTransfer,South,2024-08-14
O00245,C0764,Male,41.0,Lipstick,Beauty,5,97.84,489.2,BankTransfer,South,2025-03-14
O00246,C1024,Male,42.0,Lipstick,Beauty,4,485.18,1940.72,Cash,East,2025-01-09
O00247,C1281,Female,63.0,Shoes,Fashion,1,341.7,341.7,Cash,North,2025-08-01
O00248,C0776,Male,,Lipstick,Beauty,3,394.89,1184.67,Cash,South,2024-04-13
O00249,C1484,Male,18.0,Fan,Home,2,202.53,405.06,Cash,East,2025-01-11
O00250,C1327,Male,36.0,Makeup Kit,Beauty,1,367.48,367.48,Card,West,2025-05-11
O00251,C0072,Male,57.0,Jacket,Fashion,3,243.56,730.68,Cash,North,2023-11-18
O00252,C0931,Male,51.0,Vacuum Cleaner,Home,2,355.62,711.24,Card,East,2024-05-12
O00253,C0521,Male,61.0,Shoes,Fashion,5,157.05,785.25,Card,North,2025-02-25
O00254,C0771,Male,50.0,Jeans,Fashion,1,164.06,164.06,Cash,South,2024-08-13
O00255,C0954,Male,30.0,Fan,Home,4,240.77,963.08,Cash,West,2024-08-30
O00256,C0913,Female,26.0,Shoes,Fashion,2,402.84,805.68,MobileMoney,North,2024-04-04
O00257,C0890,Male,31.0,Makeup Kit,Beauty,2,184.44,368.88,BankTransfer,West,2024-08-16
O00258,C0328,Female,,Headphones,Electronics,4,49.3,197.2,MobileMoney,West,2023-10-26
O00259,C0680,Female,42.0,Microwave,Home,2,409.73,819.46,MobileMoney,North,2024-01-08
O00260,C0964,Female,25.0,Blender,Home,5,466.71,2333.55,MobileMoney,West,2024-10-11
O00261,C0531,Female,25.0,Makeup Kit,Beauty,1,398.25,398.25,Cash,West,2025-08-21
O00262,C0460,Male,49.0,Perfume,Beauty,4,240.12,960.48,BankTransfer,South,2025-05-21
O00263,C0538,Male,19.0,Jacket,Fashion,1,88.39,88.39,BankTransfer,South,2025-04-21
O00264,C0981,Male,40.0,Lotion,Beauty,4,472.08,1888.32,Card,East,2025-09-04
O00265,C0635,Male,61.0,Blender,Home,1,326.27,326.27,Cash,North,2025-01-17
O00266,C1463,Female,46.0,Perfume,Beauty,3,61.81,185.43,Card,East,2024-04-05
O00267,C0359,Female,20.0,Headphones,Electronics,4,320.74,1282.96,BankTransfer,West,2024-06-06
O00268,C0085,Male,46.0,T-shirt,Fashion,3,221.14,663.42,Cash,North,2023-10-22
O00269,C0986,Male,50.0,Jacket,Fashion,1,9.54,9.54,BankTransfer,North,2023-12-24
O00270,C0308,Female,29.0,Fan,Home,4,52.0,208.0,BankTransfer,North,2025-08-07
O00271,C1342,Male,41.0,Fan,Home,4,474.94,1899.76,Card,West,2025-03-05
O00272,C0517,Female,55.0,Jeans,Fashion,5,38.79,193.95,Cash,South,2024-09-19
O00273,C1173,Male,,Perfume,Beauty,5,353.04,1765.2,Card,West,2024-08-28
O00274,C1185,Male,19.0,Perfume,Beauty,2,210.09,420.18,Cash,East,2025-03-13
O00275,C1369,Male,26.0,Jacket,Fashion,4,201.65,806.6,Cash,South,2024-07-19
O00276,C1296,Male,61.0,Jeans,Fashion,5,249.44,1247.2,Cash,West,2025-01-16
O00277,C1224,Male,21.0,Fan,Home,3,31.23,93.69,MobileMoney,West,2025-09-10
O00278,C0268,Female,,Lipstick,Beauty,2,115.56,231.12,Cash,East,2024-08-24
O00279,C0148,Male,64.0,Microwave,Home,5,437.59,2187.95,Cash,East,2023-12-07
O00280,C1111,Male,33.0,Jacket,Fashion,1,269.33,269.33,MobileMoney,East,2025-01-01
O00281,C0377,Female,31.0,Lipstick,Beauty,2,227.8,455.6,MobileMoney,South,2025-01-16
